council_id,ons_code,slug,name,type,county,region,principal_authority,source
32835,E04005400,arnesby-parish-council,Arnesby Parish Council,parish,Leicestershire,East Midlands,Harborough,excel
30802,E04002586,arnside-parish-council,Arnside Parish Council,parish,Cumbria,North West,Westmorland & Furness,excel
6621,E04007446,arrathorne-parish-meeting,Arrathorne (Parish Meeting),parish_meeting,North Yorkshire,Yorkshire and the Humber,North Yorkshire,excel
34123,E04006633,arthingworth-parish-council,Arthingworth Parish Council,parish,Northamptonshire,East Midlands,West Northamptonshire,excel
30686,E04002445,arthuret-parish-council,Arthuret Parish Council,parish,Cumbria,North West,Cumberland,excel
37012,E04009852,arundel-town-council,Arundel Town Council,town,West Sussex,South East,Arun,excel
30803,E04002513,asby-parish-council,Asby Parish Council,parish,Cumbria,North West,Westmorland & Furness,excel
34553,E04008257,ascott-under-wychwood-parish-council,Ascott-under-Wychwood Parish Council,parish,Oxfordshire,South East,Oxfordshire,excel
34689,,ascott-under-wychwood-parish-council-1,Ascott Under Wychwood Parish Council,parish,Oxfordshire,South East,West Oxfordshire,excel
5211,E04007307,asenby,Asenby,parish,North Yorkshire,Yorkshire and the Humber,North Yorkshire,excel
32836,E04005516,asfordby-parish-council,Asfordby Parish Council,parish,Leicestershire,East Midlands,Melton,excel
3642,E04009542,ash-parish-council,Ash Parish Council,parish,Kent,South East,Dover,excel
36948,E04001148,ashampstead-parish-council,Ashampstead Parish Council,parish,West Berkshire,South East,West Berkshire,excel
5900,E04009164,ashbocking-parish-council,Ashbocking Parish Council,parish,Suffolk,East of England,Babergh & Mid Suffolk,excel
3574,E04002717,ashbourne-town-council,Ashbourne Town Council,town,Derbyshire,East Midlands,Derbyshire Dales,excel
6148,E04008777,ashbrittle-parish-council,Ashbrittle Parish Council,parish,Somerset,South West,Somerset,excel
5942,,ashburnham-and-penhurst-parish-council,Ashburnham and Penhurst Parish Council,parish,East Sussex,South East,East Sussex,excel
34555,E04008191,ashbury-parish-council,Ashbury Parish Council,parish,Oxfordshire,South East,Oxfordshire,excel
33489,E04000514,ashby-cum-fenby-parish-council,Ashby cum Fenby Parish Council,parish,North East Lincolnshire,Yorkshire and the Humber,North East Lincolnshire,excel
35424,E04005542,ashby-de-la-zouch-parish-council,Ashby-de-la-zouch Parish Council,parish,Leicestershire,East Midlands,North West Leicestershire,excel
32811,,ashby-de-la-zouch-town-council,Ashby de la Zouch Town Council,town,Leicestershire,East Midlands,North West Leicestershire,excel
34124,E04006634,ashby-st-ledgers-parish-meeting,Ashby St Ledgers Parish Meeting,parish_meeting,Northamptonshire,East Midlands,West Northamptonshire,excel
4193,E04006509,ashby-st-mary-parish-council,Ashby St Mary Parish Council,parish,Norfolk,East of England,South Norfolk & Broadland,excel
33419,,ashby-st-mary-parish-council-1,Ashby St. Mary Parish Council,parish,Norfolk,East of England,South Norfolk,excel
32954,E04005593,ashby-with-scremby-parish-council,Ashby with Scremby Parish Council,parish,Lincolnshire,East Midlands,East Lindsey,excel
32812,E04005543,ashby-woulds-town-council,Ashby Woulds Town Council,town,Leicestershire,East Midlands,North West Leicestershire,excel
31917,E04013261,ashchurch-rural-parish-council,Ashchurch Rural Parish Council,parish,Gloucestershire,South West,Tewkesbury,excel
3532,E04008602,ashcott-parish-council,Ashcott Parish Council,parish,Somerset,South West,Somerset,excel
5510,E04001455,ashendon-parish-council,Ashendon Parish Council,parish,Buckinghamshire,South East,Buckinghamshire,excel
4509,E04009165,ashfield-cum-thorpe-parish-council,Ashfield cum Thorpe Parish Council,parish,Suffolk,East of England,Babergh & Mid Suffolk,excel
36391,E04011206,ashford-bowdler-parish-council,Ashford Bowdler Parish Council,parish,Surrey,South East,Shropshire,excel
5849,E04011207,ashford-carbonel-parish-council,Ashford Carbonel Parish Council,parish,Shropshire,West Midlands,Shropshire,excel
3968,E04002718,ashford-in-the-water-parish-council,Ashford In The Water Parish Council,parish,Derbyshire,East Midlands,Derbyshire Dales,excel
6836,E04003067,ashford-parish-council,Ashford Parish Council,parish,Devon,South West,North Devon,excel
4871,,ashill-parish-council-1,Ashill Parish Council,parish,Somerset,South West,Somerset,excel
37018,E04009948,ashington-parish-council,Ashington Parish Council,parish,West Sussex,South East,Horsham,excel
31918,E04004389,ashleworth-parish-council,Ashleworth Parish Council,parish,Gloucestershire,South West,Tewkesbury,excel
5511,E04001564,ashley-green-parish-council,Ashley Green Parish Council,parish,Buckinghamshire,South East,Buckinghamshire,excel
30258,E04004595,ashley-parish-council,Ashley Parish Council,parish,Cheshire,North West,Cheshire East,excel
6830,,ashley-parish-meeting,Ashley Parish Meeting,parish,Hampshire,South East,Test Valley,excel
33214,E04006387,ashmanhaugh-parish-council,Ashmanhaugh Parish Council,parish,Norfolk,East of England,North Norfolk,excel
4642,E04004439,ashmansworth-parish-council,Ashmansworth Parish Council,parish,Hampshire,South East,Basingstoke & Deane,excel
31120,E04003391,ashmore-parish-council,Ashmore Parish Council,parish,Dorset,South West,Dorset,excel
4007,E04002861,ashover-parish-council,Ashover Parish Council,parish,Derbyshire,East Midlands,North East Derbyshire,excel
32086,E04000688,ashperton-parish-council,Ashperton Parish Council,parish,Herefordshire,West Midlands,Herefordshire,excel
30463,E04012568,ashton-hayes-and-horton-cum-peel-parish-council,Ashton Hayes and Horton-cum-peel Parish Council,parish,Cheshire West and Chester,North West,Cheshire West and Chester,excel
30390,,ashton-hayes-horton-cum-peel-parish-council,Ashton Hayes & Horton-cum Peel Parish Council,parish,Cheshire West and Chester,North West,Cheshire West and Chester,excel
5371,E04011625,ashton-keynes-parish-council,Ashton Keynes Parish Council,parish,Wiltshire,South West,Wiltshire,excel
