id,slug,council_name,type,county,district,region,website,data_source,ons_code
ons-E04013277,awsworth-parish-council,Awsworth Parish Council,parish,,,,,ons,E04013277
ons-E04006556,hedenham-parish-council,Hedenham Parish Council,parish,,,,,ons,E04006556
ons-E04007804,east-markham-parish-council,East Markham Parish Council,parish,,,,,ons,E04007804
ons-E04006613,trowse-with-newton-parish-council,Trowse with Newton Parish Council,parish,,,,,ons,E04006613
ons-E04007785,felley-parish-council,Felley Parish Council,parish,,,,,ons,E04007785
ons-E04007791,bevercotes-parish-council,Bevercotes Parish Council,parish,,,,,ons,E04007791
ons-E04006504,worstead-parish-council,Worstead Parish Council,parish,,,,,ons,E04006504
ons-E04007806,elkesley-parish-council,Elkesley Parish Council,parish,,,,,ons,E04007806
ons-E04006445,little-barningham-parish-council,Little Barningham Parish Council,parish,,,,,ons,E04006445
ons-E04006565,kimberley-and-carleton-forehoe-parish-council,Kimberley and Carleton Forehoe Parish Council,parish,,,,,ons,E04006565
ons-E04007808,fledborough-parish-council,Fledborough Parish Council,parish,,,,,ons,E04007808
ons-E04007809,gamston-parish-council,Gamston Parish Council,parish,,,,,ons,E04007809
ons-E04007870,linby-parish-council,Linby Parish Council,parish,,,,,ons,E04007870
ons-E04006516,bergh-apton-parish-council,Bergh Apton Parish Council,parish,,,,,ons,E04006516
ons-E04006518,bracon-ash-parish-council,Bracon Ash Parish Council,parish,,,,,ons,E04006518
ons-E04007872,papplewick-parish-council,Papplewick Parish Council,parish,,,,,ons,E04007872
ons-E04007812,harworth-bircotes-parish-council,Harworth Bircotes Parish Council,parish,,,,,ons,E04007812
ons-E04006519,bramerton-parish-council,Bramerton Parish Council,parish,,,,,ons,E04006519
ons-E04006452,neatishead-parish-council,Neatishead Parish Council,parish,,,,,ons,E04006452
ons-E04007815,headon-cum-upton-parish-council,Headon cum Upton Parish Council,parish,,,,,ons,E04007815
ons-E04006453,northrepps-parish-council,Northrepps Parish Council,parish,,,,,ons,E04006453
ons-E04007816,hodsock-parish-council,Hodsock Parish Council,parish,,,,,ons,E04007816
ons-E04006523,broome-parish-council,Broome Parish Council,parish,,,,,ons,E04006523
ons-E04006577,mundham-parish-council,Mundham Parish Council,parish,,,,,ons,E04006577
ons-E04006525,burgh-st-peter-parish-council,Burgh St. Peter Parish Council,parish,,,,,ons,E04006525
ons-E04006456,paston-parish-council,Paston Parish Council,parish,,,,,ons,E04006456
ons-E04006578,needham-parish-council,Needham Parish Council,parish,,,,,ons,E04006578
ons-E04006457,plumstead-parish-council,Plumstead Parish Council,parish,,,,,ons,E04006457
ons-E04007881,bathley-parish-council,Bathley Parish Council,parish,,,,,ons,E04007881
ons-E04006463,ryburgh-parish-council,Ryburgh Parish Council,parish,,,,,ons,E04006463
ons-E04006469,sidestrand-parish-council,Sidestrand Parish Council,parish,,,,,ons,E04006469
ons-E04006470,skeyton-parish-council,Skeyton Parish Council,parish,,,,,ons,E04006470
ons-E04006471,sloley-parish-council,Sloley Parish Council,parish,,,,,ons,E04006471
ons-E04006473,southrepps-parish-council,Southrepps Parish Council,parish,,,,,ons,E04006473
ons-E04006476,stiffkey-parish-council,Stiffkey Parish Council,parish,,,,,ons,E04006476
ons-E04006477,stody-parish-council,Stody Parish Council,parish,,,,,ons,E04006477
ons-E04006478,suffield-parish-council,Suffield Parish Council,parish,,,,,ons,E04006478
